Proteina	Localizacion
P17936	Secreted {ECO:0000269|PubMed:20353938}.
P18510	[Isoform 1]: Secreted
P18827	Membrane {ECO:0000255}; Single-pass type I
P19957	Secreted.
P20061	Secreted.
P20591	Cytoplasm {ECO:0000269|PubMed:11880649,
P21741	Secreted.
P21810	Secreted, extracellular space, extracellular
P22352	Secreted.
P22676	
P23142	Secreted, extracellular space, extracellular
P24557	Endoplasmic reticulum membrane
P24821	Secreted, extracellular space, extracellular
P25815	Nucleus. Cytoplasm. Cell projection, microvillus
P27144	Mitochondrion matrix {ECO:0000255|HAMAP-
P29034	
P29373	Cytoplasm. Endoplasmic reticulum. Nucleus.
P29508	Cytoplasm {ECO:0000269|PubMed:10956412,
P29590	Nucleus. Nucleus, nucleoplasm. Cytoplasm
P29728	Cytoplasm {ECO:0000269|PubMed:19923450}.
P31947	Cytoplasm. Nucleus {ECO:0000250}. Secreted.
P31949	Cytoplasm {ECO:0000269|PubMed:18618420}. Nucleus
P32456	Cytoplasmic vesicle membrane
P33241	Cell membrane; Peripheral membrane protein;
P35442	
P36952	Secreted, extracellular space.
P36955	Secreted {ECO:0000269|PubMed:17081065}.
P40261	Cytoplasm.
P42830	Secreted.
P49747	Secreted, extracellular space, extracellular
P50452	Cytoplasm.
P50454	Endoplasmic reticulum lumen.
P50479	[Isoform 1]: Cytoplasm, cytoskeleton
P51888	Secreted, extracellular space, extracellular
P52179	Cytoplasm, myofibril, sarcomere, M line
P52789	Mitochondrion outer membrane
P52790	
P53801	Membrane {ECO:0000305}; Single-pass type I
P54108	Secreted. Note=In neutrophils, localized in
P55083	Secreted, extracellular space, extracellular
P55774	Secreted.
P56134	Mitochondrion. Mitochondrion inner membrane
P56856	Cell junction, tight junction
P59998	Cytoplasm, cytoskeleton
P61626	Secreted.
P61769	Secreted {ECO:0000269|PubMed:1336137,
P61812	[Latency-associated peptide]: Secreted,
P62310	Nucleus {ECO:0000269|PubMed:10523320,
P62312	Cytoplasm {ECO:0000269|PubMed:12515382}. Nucleus
P62736	Cytoplasm, cytoskeleton.
P62760	
P80723	Cell membrane; Lipid-anchor. Cell projection,
P83110	Secreted {ECO:0000269|PubMed:21321049}.
P98066	Secreted {ECO:0000269|PubMed:1730767}.
P98095	Secreted, extracellular space, extracellular
Q01658	Nucleus.
Q01995	Cytoplasm {ECO:0000305}.
Q03692	Secreted, extracellular space, extracellular
Q04695	Cytoplasm {ECO:0000250|UniProtKB:Q9QWL7}.
Q05682	Cytoplasm, cytoskeleton
Q07817	[Isoform Bcl-X(L)]: Mitochondrion inner membrane
Q08380	Secreted {ECO:0000269|PubMed:8390986}. Secreted,
Q12805	Secreted, extracellular space {ECO:0000250}.
Q12841	Secreted {ECO:0000305}.
Q13421	Cell membrane; Lipid-anchor, GPI-anchor. Golgi
Q13443	[Isoform 1]: Cell membrane
Q13643	Nucleus {ECO:0000250|UniProtKB:Q9R059}. Cytoplasm
Q13751	Secreted, extracellular space, extracellular
Q13753	Secreted, extracellular space, extracellular
Q14002	Cell membrane {ECO:0000305}; Lipid-anchor, GPI-
Q14134	Cytoplasm {ECO:0000269|PubMed:7644499}. Lysosome
Q14192	Cytoplasm {ECO:0000269|PubMed:11813260,
Q14508	Secreted {ECO:0000269|PubMed:15781627,
Q14573	Endoplasmic reticulum membrane; Multi-pass
Q14728	Nucleus inner membrane
Q14766	Secreted {ECO:0000269|PubMed:16157329}. Secreted,
Q15063	Golgi apparatus {ECO:0000250|UniProtKB:Q62009}.
Q15080	Cytoplasm, cytosol {ECO:0000269|PubMed:8280052}.
Q15113	Secreted.
Q15149	Cytoplasm, cytoskeleton
Q15392	Endoplasmic reticulum membrane
Q15417	
Q16270	Secreted.
Q16553	Cell membrane {ECO:0000250|UniProtKB:Q64253};
Q16656	Nucleus.
Q16674	Secreted.
Q16787	Secreted, extracellular space, extracellular
Q32P51	Nucleus {ECO:0000250}. Cytoplasm {ECO:0000250}.
Q4ZHG4	Secreted {ECO:0000305}.
Q53GD3	Membrane {ECO:0000269|PubMed:24379411,
Q56VL3	Endosome {ECO:0000305}.
Q5TEA6	Membrane; Single-pass type I membrane protein.
Q5VYY1	
Q5XXA6	Apical cell membrane
Q6FHJ7	Secreted {ECO:0000269|PubMed:19480240}.
Q6P179	Endoplasmic reticulum membrane
Q6PIU2	Cell membrane {ECO:0000269|PubMed:17052608,
Q6UWJ1	Membrane {ECO:0000305}; Multi-pass membrane
Q6UXY8	Membrane {ECO:0000305}; Multi-pass membrane
Q76M96	Secreted, extracellular space, extracellular
Q7Z7M9	Golgi apparatus membrane {ECO:0000250}; Single-
Q86SF2	Golgi apparatus membrane {ECO:0000250}; Single-
Q86YH2	Nucleus {ECO:0000305}.
Q8IUX7	[Isoform 1]: Secreted
Q8IVF2	Nucleus {ECO:0000250}.
Q8IVT2	Cell junction, focal adhesion. Cytoplasm,
Q8IWU5	Endoplasmic reticulum
Q8IWU6	Endoplasmic reticulum
Q8IZW8	Cell junction, focal adhesion
Q8N0U8	Endoplasmic reticulum membrane
Q8N1Q1	
Q8N257	Nucleus. Chromosome.
Q8N3Y7	Endoplasmic reticulum membrane
Q8NFJ5	Cell membrane {ECO:0000269|PubMed:9857033};
Q8TAX9	[Gasdermin-B]: Cytoplasm
Q8WUP2	Cell junction, focal adhesion
Q8WX93	Cytoplasm, cytoskeleton
Q92743	Cell membrane {ECO:0000269|PubMed:21297635}.
Q92817	Cell junction, desmosome. Cornified envelope.
Q92828	
Q96A08	Nucleus {ECO:0000250|UniProtKB:P70696}.
Q96C12	Cytoplasm {ECO:0000269|PubMed:24283224}.
Q96CG8	Secreted, extracellular space, extracellular
Q96HF1	Secreted {ECO:0000250}.
Q96RW7	Secreted, extracellular space, extracellular
Q96S86	Secreted, extracellular space, extracellular
Q96SQ9	Endoplasmic reticulum membrane
Q99439	
Q99541	Membrane {ECO:0000250|UniProtKB:P43883};
Q99715	Secreted, extracellular space, extracellular
Q99983	Secreted, extracellular space, extracellular
Q9BUD6	Secreted, extracellular space, extracellular
Q9BXI9	Secreted {ECO:0000305}.
Q9BXJ4	Secreted {ECO:0000305}.
Q9C002	Nucleus {ECO:0000269|PubMed:12209954}.
Q9C005	Nucleus {ECO:0000269|PubMed:19651892}. Golgi
Q9GZP8	Nucleus {ECO:0000269|PubMed:11080599}.
Q9H299	Cytoplasm, cytosol {ECO:0000269|PubMed:10554026,
Q9HC84	Secreted.
Q9HCY8	Cytoplasm {ECO:0000269|PubMed:11944983}.
Q9NR99	Secreted {ECO:0000269|PubMed:25326458,
Q9NRS4	Cell membrane {ECO:0000305|PubMed:24434139};
Q9NUI1	Peroxisome {ECO:0000250|UniProtKB:Q9Z2M4}.
Q9NZM1	Cell membrane; Single-pass type II membrane
Q9P121	Cell membrane; Lipid-anchor, GPI-anchor.
Q9UKN7	Cell projection, stereocilium {ECO:0000250}.
Q9UKU9	Secreted.
Q9UKX5	Membrane; Single-pass type I membrane protein.
Q9UMD9	Cell junction, hemidesmosome. Membrane; Single-
Q9Y4K0	Secreted, extracellular space, extracellular
Q9Y6K5	Cytoplasm. Nucleus.
